File,Path,Size Metric,Density Metric,Separability Metric,Constraint Variability Metric
model64.json,/content/Nisaba evaluation/FC Batch 2/model64/model64.json,30,1.166666667,0.133333333,0.840546879
model64 _reconstructed.json,/content/Nisaba evaluation/FC Batch 2/model64/model64 _reconstructed.json,30,1.166666667,0.133333333,0.840546879
model247.json,/content/Nisaba evaluation/FC Batch 2/model247/model247.json,27,1.363636364,0.074074074,0.96025501
model247_reconstructed.json,/content/Nisaba evaluation/FC Batch 2/model247/model247_reconstructed.json,27,1.363636364,0.074074074,0.96025501
model2_reconstructed.json,/content/Nisaba evaluation/SO Batch 1/model2/model2_reconstructed.json,16,1.666666667,0.0625,0.973976032
model2.json,/content/Nisaba evaluation/SO Batch 1/model2/model2.json,16,1.666666667,0.0625,0.973976032
model93_reconstructed.json,/content/Nisaba evaluation/SO Batch 1/model93/model93_reconstructed.json,20,1.0,0.15,0.73248676
model93.json,/content/Nisaba evaluation/SO Batch 1/model93/model93.json,20,1.0,0.15,0.73248676
model250_reconstructed.json,/content/Nisaba evaluation/FC Batch 1/model250/model250_reconstructed.json,19,1.111111111,0.052631579,0.581671866
model250.json,/content/Nisaba evaluation/FC Batch 1/model250/model250.json,19,1.111111111,0.052631579,0.581671866
model194.json,/content/Nisaba evaluation/FC Batch 1/model194/model194.json,20,1.142857143,0.1,0.967132018
model194_reconstructed.json,/content/Nisaba evaluation/FC Batch 1/model194/model194_reconstructed.json,20,1.142857143,0.1,0.967132018
model246.json,/content/Nisaba evaluation/SO Batch 2/model246/model246.json,25,1.285714286,0.12,0.908493519
model246_reconstructed.json,/content/Nisaba evaluation/SO Batch 2/model246/model246_reconstructed.json,25,1.285714286,0.12,0.908493519
model103.json,/content/Nisaba evaluation/SO Batch 2/model103/model103.json,30,1.0,0.233333333,0.45815691
model103_reconstructed.json,/content/Nisaba evaluation/SO Batch 2/model103/model103_reconstructed.json,30,1.0,0.233333333,0.45815691
