model,family,edu_nisaba,edu_zeroshot,rel_nisaba,rel_zeroshot,nontemporal_nisaba,nontemporal_zeroshot
model132,anthropic,71,106,70,105,19,7
model132,deepseek,59,37,58,36,24,2
model132,xai,66,71,65,70,12,3
model132,zai,137,68,136,67,24,8
model185,anthropic,110,91,109,90,26,4
model185,deepseek,94,67,93,66,33,1
model185,xai,112,109,111,108,24,2
model185,zai,125,93,124,92,24,7
model28,anthropic,112,79,111,78,28,8
model28,deepseek,77,41,76,40,29,6
model28,xai,86,94,85,93,21,9
model28,zai,121,82,120,81,26,7
model67,anthropic,166,94,165,93,42,12
model67,deepseek,94,60,93,59,36,11
model67,xai,81,143,80,142,17,4
model67,zai,109,96,108,95,21,12
model78,anthropic,195,80,194,79,45,5
model78,deepseek,70,44,69,43,26,4
model78,xai,75,68,74,67,21,5
model78,zai,107,77,106,76,12,3
model179,anthropic,220,100,219,99,72,4
model179,deepseek,63,48,62,47,29,4
model179,xai,83,85,82,84,18,7
model179,zai,89,92,88,91,27,7
model248,anthropic,222,93,221,92,70,5
model248,deepseek,90,66,89,65,39,5
model248,xai,116,82,115,81,19,1
model248,zai,179,155,178,154,46,7
model35,anthropic,97,86,96,85,23,2
model35,deepseek,92,47,91,46,39,1
model35,xai,91,100,90,99,17,2
model35,zai,104,78,103,77,37,6
model57,anthropic,153,108,152,107,39,8
model57,deepseek,113,55,112,54,34,1
model57,xai,140,83,139,82,29,4
model57,zai,150,94,149,93,46,9
model97,anthropic,129,105,128,104,24,8
model97,deepseek,107,51,106,50,24,7
model97,xai,107,126,106,125,28,3
model97,zai,180,117,179,116,45,16
model102,anthropic,234,102,233,101,58,5
model102,deepseek,72,40,71,39,14,2
model102,xai,69,86,68,85,11,0
model102,zai,63,71,62,70,26,8
model109,anthropic,199,89,198,88,47,12
model109,deepseek,91,44,90,43,17,5
model109,xai,85,117,84,116,19,4
model109,zai,132,130,131,129,25,10
model148,anthropic,212,84,211,83,72,4
model148,deepseek,58,45,57,44,18,6
model148,xai,68,51,67,50,21,6
model148,zai,80,74,79,73,13,6
model208,anthropic,196,93,195,92,60,4
model208,deepseek,92,70,91,69,29,3
model208,xai,119,121,118,120,22,4
model208,zai,164,86,163,85,34,4
model70,anthropic,94,81,93,80,12,9
model70,deepseek,72,36,71,35,21,2
model70,xai,65,41,64,40,12,2
model70,zai,126,97,125,96,19,6
model186,anthropic,220,126,219,125,59,11
model186,deepseek,117,52,116,51,41,9
model186,xai,101,69,100,68,31,5
model186,zai,166,114,165,113,46,12
model191,anthropic,205,96,204,95,55,6
model191,deepseek,58,87,57,86,24,1
model191,xai,92,126,91,125,12,8
model191,zai,77,101,76,100,21,6
model234,anthropic,98,75,97,74,25,5
model234,deepseek,103,113,102,112,28,11
model234,xai,108,150,107,149,15,4
model234,zai,100,147,99,146,21,16
model53,anthropic,171,98,170,97,45,12
model53,deepseek,93,78,92,77,27,3
model53,xai,107,120,106,119,17,2
model53,zai,124,106,123,105,29,15
model81,anthropic,140,107,139,106,33,6
model81,deepseek,119,79,118,78,43,4
model81,xai,150,86,149,85,51,1
model81,zai,219,105,218,104,60,9
model107,anthropic,83,55,82,54,7,5
model107,deepseek,65,40,64,39,18,2
model107,xai,69,57,68,56,13,1
model107,zai,99,44,98,43,12,2
model15,anthropic,187,90,186,89,73,7
model15,deepseek,91,42,90,41,30,2
model15,xai,103,69,102,68,27,3
model15,zai,123,94,122,93,29,8
model200,anthropic,69,82,68,81,8,1
model200,deepseek,105,41,104,40,44,3
model200,xai,75,101,74,100,13,7
model200,zai,78,66,77,65,16,3
model212,anthropic,73,51,72,50,13,4
model212,deepseek,70,73,69,72,15,1
model212,xai,90,93,89,92,12,0
model212,zai,118,114,117,113,21,5
model5,anthropic,76,74,75,73,10,4
model5,deepseek,76,28,75,27,16,1
model5,xai,68,84,67,83,12,0
model5,zai,85,75,84,74,17,2
model144,anthropic,150,92,149,91,39,3
model144,deepseek,91,49,90,48,19,1
model144,xai,123,80,122,79,19,3
model144,zai,132,129,131,128,29,8
model16,anthropic,206,74,205,73,50,10
model16,deepseek,88,59,87,58,21,2
model16,xai,88,67,87,66,20,1
model16,zai,153,63,152,62,33,3
model207,anthropic,86,72,85,71,11,1
model207,deepseek,80,34,79,33,15,2
model207,xai,90,62,89,61,21,1
model207,zai,118,63,117,62,37,2
model221,anthropic,220,95,219,94,57,5
model221,deepseek,153,58,152,57,40,10
model221,xai,116,91,115,90,14,4
model221,zai,91,113,90,112,18,8
model9,anthropic,160,124,159,123,31,10
model9,deepseek,130,74,129,73,47,11
model9,xai,145,80,144,79,37,6
model9,zai,193,69,192,68,52,8
model130,anthropic,223,80,222,79,62,8
model130,deepseek,80,41,79,40,24,6
model130,xai,102,65,101,64,11,3
model130,zai,101,71,100,70,18,10
model138,anthropic,201,99,200,98,51,7
model138,deepseek,92,42,91,41,24,7
model138,xai,92,111,91,110,19,6
model138,zai,129,114,128,113,24,11
model192,anthropic,167,78,166,77,50,3
model192,deepseek,96,34,95,33,34,6
model192,xai,86,95,85,94,25,10
model192,zai,127,53,126,52,39,6
model38,anthropic,144,62,143,61,33,4
model38,deepseek,81,44,80,43,29,7
model38,xai,91,88,90,87,23,4
model38,zai,113,69,112,68,22,9
model44,anthropic,232,96,231,95,62,4
model44,deepseek,73,107,72,106,18,9
model44,xai,107,99,106,98,12,3
model44,zai,95,80,94,79,20,7
model10,anthropic,97,82,96,81,18,5
model10,deepseek,101,33,100,32,27,2
model10,xai,108,97,107,96,30,1
model10,zai,113,110,112,109,44,7
model172,anthropic,216,100,215,99,60,13
model172,deepseek,122,60,121,59,45,6
model172,xai,130,82,129,81,34,6
model172,zai,205,113,204,112,50,9
model202,anthropic,202,88,201,87,50,7
model202,deepseek,96,69,95,68,31,3
model202,xai,104,143,103,142,19,5
model202,zai,165,85,164,84,39,10
model205,anthropic,104,79,103,78,20,7
model205,deepseek,87,65,86,64,23,3
model205,xai,192,64,191,63,61,5
model205,zai,117,92,116,91,32,7
model247,anthropic,241,103,240,102,69,10
model247,deepseek,94,119,93,118,28,12
model247,xai,97,71,96,70,12,5
model247,zai,192,83,191,82,53,17
