filename,flesch_reading_ease
model102_anthropic_nisaba_description.txt,17.13
model102_anthropic_zero-shot_description.txt,40.37
model102_deepseek_nisaba_description.txt,39.55
model102_deepseek_zero-shot_description.txt,49.33
model102_xai_nisaba_description.txt,39.7
model102_xai_zero-shot_description.txt,54.56
model102_zai_nisaba_description.txt,41.68
model102_zai_zero-shot_description.txt,47.4
model107_anthropic_nisaba_description.txt,16.98
model107_anthropic_zero-shot_description.txt,20.5
model107_deepseek_nisaba_description.txt,25.22
model107_deepseek_zero-shot_description.txt,41.99
model107_xai_nisaba_description.txt,22.36
model107_xai_zero-shot_description.txt,26.3
model107_zai_nisaba_description.txt,23.57
model107_zai_zero-shot_description.txt,30.37
model109_anthropic_nisaba_description.txt,18.78
model109_anthropic_zero-shot_description.txt,8.57
model109_deepseek_nisaba_description.txt,27.3
model109_deepseek_zero-shot_description.txt,41.39
model109_xai_nisaba_description.txt,26.43
model109_xai_zero-shot_description.txt,26.62
model109_zai_nisaba_description.txt,27.76
model109_zai_zero-shot_description.txt,37.74
model10_anthropic_nisaba_description.txt,13.54
model10_anthropic_zero-shot_description.txt,1.52
model10_deepseek_nisaba_description.txt,16.24
model10_deepseek_zero-shot_description.txt,27.33
model10_xai_nisaba_description.txt,20.12
model10_xai_zero-shot_description.txt,9.02
model10_zai_nisaba_description.txt,17.62
model10_zai_zero-shot_description.txt,35.29
model130_anthropic_nisaba_description.txt,15.21
model130_anthropic_zero-shot_description.txt,38.19
model130_deepseek_nisaba_description.txt,28.96
model130_deepseek_zero-shot_description.txt,48.2
model130_xai_nisaba_description.txt,36.74
model130_xai_zero-shot_description.txt,37.48
model130_zai_nisaba_description.txt,34.5
model130_zai_zero-shot_description.txt,35.79
model132_anthropic_nisaba_description.txt,8.12
model132_anthropic_zero-shot_description.txt,-5.75
model132_deepseek_nisaba_description.txt,17.4
model132_deepseek_zero-shot_description.txt,30.04
model132_xai_nisaba_description.txt,16.19
model132_xai_zero-shot_description.txt,9.88
model132_zai_nisaba_description.txt,16.42
model132_zai_zero-shot_description.txt,24.24
model138_anthropic_nisaba_description.txt,7.44
model138_anthropic_zero-shot_description.txt,4.91
model138_deepseek_nisaba_description.txt,15.38
model138_deepseek_zero-shot_description.txt,24.36
model138_xai_nisaba_description.txt,17.96
model138_xai_zero-shot_description.txt,13.52
model138_zai_nisaba_description.txt,13.42
model138_zai_zero-shot_description.txt,15.68
model144_anthropic_nisaba_description.txt,17.29
model144_anthropic_zero-shot_description.txt,26.07
model144_deepseek_nisaba_description.txt,24.65
