model,family,n_constraints,coverage_nisaba,coverage_zeroshot,aligned_nisaba,aligned_zeroshot,density_nisaba,density_zeroshot,profilecos_nisaba,profilecos_zeroshot
model10,anthropic,15,1.0,1.0,1.0,0.867,6.04,3.28,0.544,0.667
model10,deepseek,15,1.0,0.8,0.867,1.0,9.3,4.63,0.681,0.8
model10,xai,15,1.0,1.0,0.867,0.667,9.2,4.43,0.483,0.904
model10,zai,15,1.0,1.0,1.0,0.667,7.85,3.24,0.591,0.531
model102,anthropic,10,1.0,1.0,0.9,1.0,6.59,5.56,0.584,0.992
model102,deepseek,10,1.0,0.9,0.9,0.889,8.33,5.8,0.944,0.908
model102,xai,10,1.0,1.0,0.9,0.8,11.18,5.0,0.967,0.968
model102,zai,10,1.0,1.0,0.9,0.7,8.57,2.23,0.964,0.928
model107,anthropic,9,1.0,1.0,0.889,0.889,8.19,6.12,0.871,0.742
model107,deepseek,9,1.0,1.0,0.889,0.778,10.95,6.75,0.962,0.933
model107,xai,9,1.0,1.0,0.889,0.889,11.96,5.7,0.956,0.941
model107,zai,9,1.0,1.0,1.0,0.889,5.51,6.18,0.954,0.955
model109,anthropic,10,1.0,1.0,1.0,0.5,5.37,4.06,0.787,0.321
model109,deepseek,10,1.0,1.0,0.9,0.8,6.91,6.25,0.797,0.802
model109,xai,10,1.0,1.0,0.9,0.7,7.49,4.18,0.886,0.869
model109,zai,10,1.0,1.0,1.0,0.7,3.87,3.31,0.84,0.352
model130,anthropic,10,1.0,1.0,1.0,0.8,5.38,5.8,0.678,0.718
model130,deepseek,10,1.0,1.0,0.9,0.8,8.69,9.38,0.668,0.903
model130,xai,10,1.0,1.0,1.0,1.0,7.16,7.23,0.875,0.933
model130,zai,10,1.0,1.0,0.9,0.8,8.52,5.52,0.908,0.606
model132,anthropic,10,1.0,1.0,1.0,0.9,6.56,4.39,0.918,0.918
model132,deepseek,10,1.0,0.8,0.8,0.875,10.91,4.53,0.955,0.789
model132,xai,10,1.0,1.0,0.9,0.6,9.85,5.41,0.97,0.952
model132,zai,10,1.0,1.0,0.9,0.8,4.19,4.07,0.914,0.845
model138,anthropic,10,1.0,1.0,0.8,0.8,5.07,5.89,0.837,0.594
model138,deepseek,10,1.0,1.0,0.8,0.8,7.1,8.9,0.794,0.656
model138,xai,10,1.0,1.0,0.6,0.6,6.06,4.79,0.685,0.486
model138,zai,10,1.0,1.0,0.7,0.8,5.09,4.19,0.73,0.577
model144,anthropic,13,1.0,1.0,0.769,0.692,6.86,2.35,0.754,0.671
model144,deepseek,13,1.0,1.0,0.692,0.615,7.01,5.31,0.713,0.643
model144,xai,13,1.0,1.0,0.769,0.462,5.87,3.34,0.695,0.693
model144,zai,13,1.0,1.0,0.769,0.538,4.88,3.25,0.658,0.47
model148,anthropic,10,1.0,1.0,0.9,1.0,5.71,4.43,0.56,0.812
model148,deepseek,10,1.0,1.0,1.0,0.8,7.84,5.24,0.962,0.83
model148,xai,10,1.0,1.0,1.0,0.8,9.81,4.82,0.962,0.79
model148,zai,10,1.0,1.0,1.0,0.8,7.7,3.68,0.956,0.745
model15,anthropic,10,1.0,1.0,0.8,0.8,5.2,3.96,0.754,0.764
model15,deepseek,10,1.0,1.0,0.7,0.2,6.72,6.19,0.74,0.628
model15,xai,10,1.0,1.0,0.9,0.4,6.86,6.02,0.832,0.598
model15,zai,10,1.0,1.0,0.7,0.1,4.71,2.82,0.808,0.519
model16,anthropic,14,1.0,1.0,0.786,0.714,6.9,4.38,0.786,0.612
model16,deepseek,14,1.0,1.0,0.929,0.571,7.36,4.91,0.822,0.923
model16,xai,14,1.0,0.929,0.714,0.615,9.68,6.18,0.917,0.923
model16,zai,14,1.0,1.0,1.0,0.714,4.54,6.17,0.901,0.916
model172,anthropic,15,1.0,1.0,0.467,0.6,5.72,4.81,0.541,0.492
model172,deepseek,15,1.0,1.0,0.667,0.533,7.66,5.58,0.579,0.565
model172,xai,15,1.0,1.0,0.533,0.4,6.9,5.21,0.568,0.48
model172,zai,15,1.0,1.0,0.8,0.467,6.03,3.25,0.586,0.521
model179,anthropic,14,1.0,1.0,0.929,0.929,5.71,6.81,0.669,0.963
model179,deepseek,14,1.0,1.0,0.929,0.929,9.86,4.78,0.815,0.9
model179,xai,14,1.0,1.0,0.929,0.929,10.59,5.38,0.931,0.837
model179,zai,14,1.0,1.0,0.929,0.929,9.68,4.56,0.961,0.906
model185,anthropic,10,1.0,1.0,0.8,0.6,5.23,3.8,0.934,0.835
model185,deepseek,10,1.0,1.0,0.8,0.4,7.3,5.43,0.9,0.786
model185,xai,10,1.0,1.0,0.9,0.4,5.74,4.05,0.958,0.712
model185,zai,10,1.0,1.0,1.0,0.9,5.83,4.94,0.962,0.948
model186,anthropic,15,1.0,0.933,0.8,0.5,5.23,4.01,0.75,0.63
model186,deepseek,15,1.0,0.933,0.667,0.286,7.36,5.22,0.807,0.523
model186,xai,15,1.0,0.933,0.8,0.143,8.79,5.48,0.873,0.728
model186,zai,15,1.0,1.0,0.933,0.6,6.55,4.97,0.853,0.652
model191,anthropic,15,1.0,1.0,1.0,1.0,5.06,5.65,0.55,0.976
model191,deepseek,15,1.0,1.0,1.0,0.933,9.0,2.98,0.932,0.742
model191,xai,15,1.0,1.0,1.0,0.467,11.3,2.25,0.949,0.436
model191,zai,15,1.0,1.0,1.0,0.867,9.12,2.48,0.962,0.912
model192,anthropic,10,1.0,1.0,0.4,0.5,5.65,4.8,0.711,0.456
model192,deepseek,10,1.0,1.0,0.6,0.5,7.78,6.35,0.739,0.539
model192,xai,10,1.0,1.0,0.6,0.6,7.64,5.8,0.675,0.535
model192,zai,10,1.0,1.0,0.6,0.3,5.73,6.1,0.61,0.314
model200,anthropic,8,1.0,1.0,1.0,0.375,4.2,2.04,0.627,0.823
model200,deepseek,8,1.0,1.0,0.25,0.125,7.18,3.51,0.217,0.06
model200,xai,8,1.0,1.0,0.25,0.25,4.82,3.61,0.676,0.105
model200,zai,8,1.0,1.0,1.0,0.5,3.71,2.03,0.673,0.254
model202,anthropic,15,1.0,1.0,0.8,1.0,6.23,4.56,0.823,0.698
model202,deepseek,15,1.0,1.0,0.8,0.667,7.18,7.87,0.708,0.723
model202,xai,15,1.0,1.0,0.667,0.6,8.92,3.37,0.739,0.431
model202,zai,15,1.0,1.0,0.933,0.733,5.74,6.26,0.747,0.602
model205,anthropic,15,1.0,1.0,0.933,0.733,5.48,3.3,0.506,0.854
model205,deepseek,15,1.0,1.0,1.0,0.667,5.96,4.59,0.874,0.709
