model,family,recon_source,embedder,tau,total,control_flow,temporal,data_conditions,binds,attr_domains
model132,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model132,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.04,0.2,0.0,0.0,0.0,0.0
model132,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model132,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6114,0.875,1.0,1.0,0.0,0.1818
model132,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model132,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4831,0.2727,1.0,0.0,0.5714,0.5714
model132,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model132,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.04,0.2,0.0,0.0,0.0,0.0
model185,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0606,0.1818,,,0.0,0.0
model185,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1538,0.4615,,,0.0,0.0
model185,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1667,0.5,,,0.0,0.0
model185,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1538,0.4615,,,0.0,0.0
model185,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,1.0,1.0,,,1.0,1.0
model185,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1939,0.1818,,,0.2,0.2
model185,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1538,0.4615,,,0.0,0.0
model185,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,,,0.0,0.0
model28,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.25,0.0,,1.0,0.0,0.0
model28,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4762,0.3333,,1.0,0.0,0.5714
model28,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2955,0.1818,,1.0,0.0,0.0
model28,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4242,0.4615,,1.0,0.2353,0.0
model28,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2955,0.1818,,1.0,0.0,0.0
model28,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5118,0.6471,,1.0,0.2,0.2
model28,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2955,0.1818,,1.0,0.0,0.0
model28,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2955,0.1818,,1.0,0.0,0.0
model67,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5935,0.9677,1.0,1.0,0.0,0.0
model67,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.215,0.2,0.0,0.0,0.0,0.875
model67,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.04,0.2,0.0,0.0,0.0,0.0
model67,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.125,0.0,0.625,0.0,0.0,0.0
model67,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2386,0.4667,0.1429,0.5833,0.0,0.0
model67,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3695,0.3636,0.625,0.5714,0.1765,0.1111
model67,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0667,0.3333,0.0,0.0,0.0,0.0
model67,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0333,0.0,0.0,0.1667,0.0,0.0
model78,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5793,0.8966,1.0,1.0,0.0,0.0
model78,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0364,0.1818,0.0,0.0,0.0,0.0
model78,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0364,0.1818,0.0,0.0,0.0,0.0
model78,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2625,0.5625,0.0,0.75,0.0,0.0
model78,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0364,0.1818,0.0,0.0,0.0,0.0
model78,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.219,0.4286,0.6667,0.0,0.0,0.0
