model,variant,category,expected,total,control_flow,temporal,data_conditions,binds,attr_domains,pass
model194,recon_reorder,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model194,recon_paraphrase,INVARIANCE,(total~0),0.2429,0.5714285714285714,0.4,,0.0,0.0,False
model194,syn_names,INVARIANCE,(total~0),0.3517,0.46153846153846156,0.4,,0.5454545454545454,0.0,False
model194,syn_values,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model194,syn_all,INVARIANCE,(total~0),0.3517,0.46153846153846156,0.4,,0.5454545454545454,0.0,False
model194,enum_synonym,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model194,reorder,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model194,tmpl_confusion,SENSITIVITY,control_flow,0.0455,0.18181818181818177,0.0,,0.0,0.0,True
model194,drop_condition,SENSITIVITY,ANY,0.0625,0.0,0.25,,0.0,0.0,True
model194,neg_template,SENSITIVITY,control_flow,0.0455,0.18181818181818177,0.0,,0.0,0.0,True
model194,swap_acts,SENSITIVITY,control_flow,0.0455,0.18181818181818177,0.0,,0.0,0.0,True
model194,drop_constr,SENSITIVITY,control_flow,0.0875,0.09999999999999998,0.25,,0.0,0.0,True
model194,add_constr,SENSITIVITY,control_flow,0.0227,0.09090909090909094,0.0,,0.0,0.0,True
model194,val_antonym,SENSITIVITY,ANY_DATA,0.0625,0.0,0.0,,0.0,0.25,True
model194,domain_range,SENSITIVITY,attr_domains,0.0625,0.0,0.0,,0.0,0.25,True
model194,time_window,SENSITIVITY,temporal,0.1,0.0,0.4,,0.0,0.0,True
model194,time_unit,SENSITIVITY,temporal,0.1,0.0,0.4,,0.0,0.0,True
model194,rebind,SENSITIVITY,binds,0.0833,0.0,0.0,,0.33333333333333337,0.0,True
model194,drop_bind,SENSITIVITY,binds,0.0982,0.0,0.0,,0.25,0.1428571428571429,True
model194,relabel_single,LIMITATION,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model250,recon_reorder,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model250,recon_paraphrase,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model250,syn_names,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model250,syn_values,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model250,syn_all,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model250,enum_synonym,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model250,reorder,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model250,drop_condition,SENSITIVITY,ANY,0.125,0.0,0.5,,0.0,0.0,True
model250,neg_template,SENSITIVITY,control_flow,0.0455,0.18181818181818177,0.0,,0.0,0.0,True
model250,swap_acts,SENSITIVITY,control_flow,0.0455,0.18181818181818177,0.0,,0.0,0.0,True
model250,drop_constr,SENSITIVITY,control_flow,0.025,0.09999999999999998,0.0,,0.0,0.0,True
model250,add_constr,SENSITIVITY,control_flow,0.0227,0.09090909090909094,0.0,,0.0,0.0,True
model250,val_antonym,SENSITIVITY,ANY_DATA,0.05,0.0,0.0,,0.0,0.19999999999999996,True
model250,domain_range,SENSITIVITY,attr_domains,0.05,0.0,0.0,,0.0,0.19999999999999996,True
model250,time_window,SENSITIVITY,temporal,0.1667,0.0,0.6666666666666667,,0.0,0.0,True
model250,time_unit,SENSITIVITY,temporal,0.1667,0.0,0.6666666666666667,,0.0,0.0,True
model250,rebind,SENSITIVITY,binds,0.0658,0.0,0.0,,0.26315789473684215,0.0,True
model250,drop_bind,SENSITIVITY,binds,0.0997,0.0,0.0,,0.17647058823529416,0.2222222222222222,True
model250,relabel_single,LIMITATION,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model247,recon_reorder,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model247,recon_paraphrase,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model247,syn_names,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model247,syn_values,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model247,syn_all,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model247,enum_synonym,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model247,reorder,INVARIANCE,(total~0),0.0,0.0,0.0,,0.0,0.0,True
model247,tmpl_confusion,SENSITIVITY,control_flow,0.1979,0.125,0.6666666666666667,,0.0,0.0,True
model247,drop_condition,SENSITIVITY,ANY,0.125,0.0,0.5,,0.0,0.0,True
