embedder,tau,whiten,relabel_detect,inv_easy_ok,inv_hard_ok,inv_hard_mean,sens_ok,realpair_max
all-MiniLM-L6-v2,inf,none,0.0,1.0,0.542,0.206,0.99,0.0
all-MiniLM-L6-v2,0.6,none,1.0,1.0,0.333,0.378,0.99,0.0
all-MiniLM-L6-v2,0.5,none,1.0,1.0,0.292,0.472,0.99,0.0
all-MiniLM-L6-v2,0.45,none,1.0,1.0,0.25,0.535,0.99,0.0
all-MiniLM-L6-v2,0.4,none,1.0,0.964,0.208,0.601,1.0,0.0
all-MiniLM-L6-v2,0.35,none,1.0,0.857,0.083,0.652,1.0,0.0
all-MiniLM-L6-v2,0.3,none,1.0,0.857,0.0,0.755,1.0,0.0
all-MiniLM-L6-v2,0.25,none,1.0,0.857,0.0,0.791,1.0,0.0
all-MiniLM-L6-v2,0.2,none,1.0,0.857,0.0,0.825,1.0,0.0
all-MiniLM-L6-v2,inf,center,0.0,1.0,0.542,0.208,0.99,0.0
all-MiniLM-L6-v2,0.6,center,1.0,0.893,0.125,0.658,1.0,0.0
all-MiniLM-L6-v2,0.5,center,1.0,0.857,0.125,0.699,1.0,0.0
all-MiniLM-L6-v2,0.45,center,1.0,0.857,0.083,0.719,1.0,0.0
all-MiniLM-L6-v2,0.4,center,1.0,0.857,0.0,0.785,1.0,0.0
all-MiniLM-L6-v2,0.35,center,1.0,0.821,0.0,0.818,1.0,0.0
all-MiniLM-L6-v2,0.3,center,1.0,0.786,0.0,0.836,1.0,0.0
all-MiniLM-L6-v2,0.25,center,1.0,0.75,0.0,0.881,1.0,0.0
all-MiniLM-L6-v2,0.2,center,1.0,0.679,0.0,0.911,1.0,0.0
