embedder,tau,whiten,relabel_detect,inv_easy_ok,inv_hard_ok,inv_hard_mean,sens_ok,realpair_max
gte-large-en-v1.5,inf,none,0.0,0.893,0.125,0.699,0.99,0.0
gte-large-en-v1.5,0.6,none,0.0,0.893,0.125,0.699,0.99,0.0
gte-large-en-v1.5,0.5,none,0.0,0.893,0.125,0.699,0.99,0.0
gte-large-en-v1.5,0.45,none,0.0,0.893,0.125,0.699,0.99,0.0
gte-large-en-v1.5,0.4,none,0.0,0.893,0.125,0.699,0.99,0.0
gte-large-en-v1.5,0.35,none,0.0,0.893,0.125,0.702,0.99,0.0
gte-large-en-v1.5,0.3,none,0.25,0.893,0.125,0.711,0.99,0.0
gte-large-en-v1.5,0.25,none,0.625,0.893,0.0,0.804,0.99,0.0
gte-large-en-v1.5,0.2,none,1.0,0.893,0.0,0.831,1.0,0.0
gte-large-en-v1.5,inf,center,0.0,0.893,0.125,0.695,0.99,0.0
gte-large-en-v1.5,0.6,center,1.0,0.893,0.0,0.865,1.0,0.0
gte-large-en-v1.5,0.5,center,1.0,0.857,0.0,0.905,1.0,0.0
gte-large-en-v1.5,0.45,center,1.0,0.821,0.0,0.907,1.0,0.0
gte-large-en-v1.5,0.4,center,1.0,0.821,0.0,0.907,1.0,0.0
gte-large-en-v1.5,0.35,center,1.0,0.821,0.0,0.907,1.0,0.0
gte-large-en-v1.5,0.3,center,1.0,0.821,0.0,0.908,1.0,0.0
gte-large-en-v1.5,0.25,center,1.0,0.821,0.0,0.908,1.0,0.0
gte-large-en-v1.5,0.2,center,1.0,0.821,0.0,0.91,1.0,0.0
